gene,1055_0001_Control,1055_0003_Control,1055_0004_Control,1055_0005_Control,1055_0006_Cre,1055_0007_Cre,1055_0008_Cre,1055_0009_Cre,1055_0010_Cre,1055_0011_Cre,1055_0012_Control
ENSMUSG00000024424_Ttc39c,9.16,7.35,15.219999999999999,8.92,5.14,6.56,15.59,3.77,19.66,7.03,15.7
ENSMUSG00000024425_Ndfip1,567.41,655.98,778.65,473.53,418.67,517.56,519.4,594.98,445.85,659.7800000000001,503.06
ENSMUSG00000024426_Atat1,33.27,20.919999999999998,30.69,24.759999999999998,20.439999999999998,23.43,25.53,32.94,21.89,24.03,50.04
ENSMUSG00000024427_Spry4,0.49,1.34,0.92,0.6,1.91,0.99,0.96,2,1.48,1.31,0.54
ENSMUSG00000024429_Gnl1,48.93,46.83,56.7,42.15,25.310000000000002,47.97,32.08,45.03,39.6,40.06,49.98
ENSMUSG00000024431_Nr3c1,25.32,16.25,15.860000000000001,9.850000000000001,16.34,7.7,13.08,21.110000000000003,11.450000000000001,16.39,25.36
ENSMUSG00000024436_Mrps18b,69.81,66.14,91.56,78.2,71.35,74.57,117.05,74.56,67.8,106.27,85.8
ENSMUSG00000024442_0610009O20Rik,1.21,2.9099999999999997,1.21,1.48,0.5,0.47000000000000003,1.94,1.23,1.21,1.99,1.41
ENSMUSG00000024446_Rpp21,269.46999999999997,238.94,206.4,305.64000000000004,279.67,240.78,259.75,194.63,312.96999999999997,225.3,269.04
ENSMUSG00000024454_Hdac3,60.91,73.45,61.57,39.24,44.07,61.56,54.49,56.760000000000005,47.48,54.42,58.93
ENSMUSG00000024456_Diaph1,3.58,2.9099999999999997,5.72,2.8499999999999996,4.49,2.01,6.02,3.1,7.31,2.77,6.430000000000001
ENSMUSG00000024457_Trim26,15.9,2.5,9.16,15.11,6.24,6.5,6.72,8.33,13.57,8.39,5.74
ENSMUSG00000024462_Gabbr1,84.86,122.09,87.33,78,75.23,53.67,70.47,91.16,81.78,76.48,117.11
ENSMUSG00000024472_Dcp2,23.27,17.53,20.979999999999997,14.78,28.17,22.64,17.56,25.04,18.37,19.56,13.79
ENSMUSG00000024474_Ik,47.120000000000005,53.77,45.83,39.67,42.96,54.97,52.949999999999996,58.86,54.39,33.61,45.96
ENSMUSG00000024477_Pggt1b,0.1,0.54,1.29,1.85,0.35,0.3,1.59,0.97,0.96,1.06,1.97
ENSMUSG00000024479_Mal2,53.2,104.09,127.7,69.75,64.36,44.64,77.31,71.7,93.67999999999999,71.33,117.56
ENSMUSG00000024480_Ap3s1,103.08,110.48,115.95,86.75,87.8,74.64999999999999,108.71000000000001,96.73,84.06,55.64,108.66
ENSMUSG00000024483_Ankhd1,10.92,11.350000000000001,9.58,16.24,18.09,10.04,14.38,11.229999999999999,6.970000000000001,9.06,11.7
ENSMUSG00000024486_Hbegf,7.470000000000001,5.8,3.98,5.07,5.1,3.92,5.28,8.39,7.95,4.319999999999999,3.52
ENSMUSG00000024487_Yipf5,37.13,31.9,37.94,33.160000000000004,22.29,27.919999999999998,33.27,33.349999999999994,33.730000000000004,24.88,37.44
ENSMUSG00000024491_Rbm27,7.45,3.8499999999999996,3.11,3.66,5.45,4.1899999999999995,6.89,7.21,6.859999999999999,3.82,6.06
ENSMUSG00000024493_Lars,10.61,7.02,6.84,11.3,10.44,5.9,7.98,6.08,8.860000000000001,7.22,8.93
ENSMUSG00000024498_Tcerg1,8.89,8.209999999999999,6.1899999999999995,8.4,8.59,10.39,10.8,9.56,5.319999999999999,5.08,11.55
ENSMUSG00000024500_Ppp2r2b,97.05,163.56,174.48000000000002,124.72,101.61,92.57,99.14,115.03,138.91,111.98,133.54
ENSMUSG00000024501_Dpysl3,14.350000000000001,5.44,14.729999999999999,2.4099999999999997,5.34,4.52,7.81,5.56,5.1499999999999995,4.7700000000000005,5.970000000000001
ENSMUSG00000024502_Jakmip2,11.59,14.7,13.78,17.39,15.129999999999999,4.35,12.39,14.4,18.71,14.78,17.959999999999997
ENSMUSG00000024505_Dtwd2,3.07,0.7799999999999999,3.57,0.09,1.1700000000000002,0.45,0.49,2.77,1.4,4.09,5.63
ENSMUSG00000024507_Hsd17b4,12.33,8.84,9.49,10.08,9.79,4.88,4.1499999999999995,23.330000000000002,12.78,5.6,8.639999999999999
ENSMUSG00000024511_Rab27b,6.619999999999999,3.4899999999999998,7.6899999999999995,2.21,3.23,5.26,7.659999999999999,8.219999999999999,8.96,4.21,10.19
