gene,1011_0001_CSS,1011_0002_Control,1011_0003_Control,1011_0004_CSS,1011_0005_Control,1011_0006_Control,1011_0007_CSS,1011_0008_CSS,1011_0009_Control,1011_0010_Control,1011_0011_CSS,1011_0012_CSS,1011_0013_CSS,1011_0014_CSS,1011_0015_CSS,1011_0016_CSS,1011_0017_CSS,1011_0018_CSS,1011_0019_Control,1011_0020_Control,1011_0021_CSS,1011_0022_CSS,1011_0023_CSS,1011_0024_CSS
ENSMUSG00000011751_Sptbn4,12.9,16.23,15.27,11.46,17.310000000000002,15.9,11.209999999999999,8.89,14.31,12.6,13.850000000000001,25,19.64,25.279999999999998,21.610000000000003,20.650000000000002,17.69,24.16,21.08,19,13.75,22.77,22.86,27.01
ENSMUSG00000011752_Pgam1,712.25,922.26,781.4499999999999,631.26,780.4499999999999,724.73,1035.6,987.59,963.8199999999999,1011.25,943.08,741.42,833.1700000000001,816.1800000000001,838.99,729.05,800.43,1016.91,1110,927.6,1061.08,779.98,864.55,752.52
ENSMUSG00000011831_Evi5,27.72,24.479999999999997,28.21,18.77,21.919999999999998,11.639999999999999,15.3,28.110000000000003,26.82,32.39,38.949999999999996,35.28,32.160000000000004,40.849999999999994,40.08,38.27,36.839999999999996,25.74,29.21,51.08,23.959999999999997,48.32,60.92,24.939999999999998
ENSMUSG00000011832_Evi5l,26.32,25.830000000000002,24.04,14.54,23.4,12.76,18.68,27.82,29.36,23.57,23.630000000000003,12.78,31,25.86,20.979999999999997,14.88,32.44,45.01,24.979999999999997,26.84,20.919999999999998,39.77,37.82,13.229999999999999
ENSMUSG00000011837_Snapc2,69.6,40.760000000000005,56.51,25.25,43.25,21.19,45.64,42.92,38.809999999999995,61.07,47.339999999999996,35.36,50.2,31.91,51.58,34.99,42.760000000000005,48.58,30.64,29.279999999999998,37.7,43.17,46.339999999999996,67.21000000000001
ENSMUSG00000011877_Git1,30.919999999999998,34.1,21.05,17.93,23.08,24.75,13.82,26.5,25.130000000000003,36.46,31.73,36.4,32.71,41.44,20.54,17.310000000000002,30.69,44.7,41.54,29.630000000000003,33.56,56.78,34.5,28.29
ENSMUSG00000011884_Gltp,22.16,16.86,53.49,9.09,21.85,33.53,14.61,10.42,23.610000000000003,8.9,35.309999999999995,1.2,46.05,22.439999999999998,47.949999999999996,17.06,42.97,35.11,19.17,13.41,12.4,52.27,44.83,25.03
ENSMUSG00000011958_Bnip2,4.7,12.81,13.709999999999999,12.01,14.44,22.01,9.09,10.69,10.93,15.32,15.139999999999999,11.48,26.650000000000002,15,17.38,13.950000000000001,16.259999999999998,16.01,12.17,4.34,4.71,21.7,26.37,19.8
ENSMUSG00000011960_Ccnt1,23.16,19.41,11.67,6.48,14.15,11.98,13.450000000000001,6.359999999999999,10.09,8.360000000000001,14.56,10.06,24.08,17.779999999999998,11.57,5.78,8.860000000000001,17,12.49,8.29,14.77,20.439999999999998,21.01,13.360000000000001
ENSMUSG00000012017_Scarf2,3.75,0.22,2.62,1.95,4.48,2.08,0.7,1.96,2.2,2.08,5.2,0.12000000000000001,5.819999999999999,3.3699999999999997,2.6,0.48000000000000004,2.17,2.02,2.3299999999999996,2.7,3.8299999999999996,6.13,8.06,3.34
